"Página","Curso","Categoria","Gratuito","URL do curso"
"16","Trabalho Remoto: Colaboração, foco e produtividade","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/trabalho-remoto/"
"16","Criar visuais e relatórios do Power BI","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/visualize-dados-no-power-bi/"
"16","Executing Basic ERP Processes with SAP S/4HANA","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/executing-basic-erp-processes-with-sap-s-4hana/"
"16","Cause impacto com a análise de dados","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/cause-impacto-com-a-analise-de-dados/"
"16","Ética da IA","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/etica-da-ia/"
"16","Curso de Marketing Digital","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/curso-de-marketing-digital/"
"17","Discover","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/discover/"
"17","Internet das Coisas – Introdução","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/internet-das-coisas-introducao/"
"17","Profissional de Design Thinking Empresarial","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/design-thinking-empresarial-ibm/"
"17","Promova um negócio através do conteúdo","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/promova-um-negocio-atraves-do-conteudo/"
"17","Publicidade nas Redes Sociais","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/publicidade-nas-redes-sociais/"
"17","Fundamentos de tecnologia da informação (credencial em Inglês)","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/information-technology-fundamentals/"
"17","Produtividade – Escola do Trabalhador 4.0","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/produtividade-escola-do-trabalhador-4-0/"
"17","Conceitos básicos das respostas às perguntas com o Serviço de Linguagem","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/explore-a-ia-conversacional/"
"17","Gestão de Projetos e Fundamentos de métodos Agile","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/gestao-de-projetos-e-fundamentos-de-metodos-agile/"
"18","Melhores práticas para trabalhar em casa","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/melhores-praticas-para-trabalhar-em-casa/"
"18","Desenvolva sua marca usando rede social","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/desenvolva-sua-marca-usando-rede-social/"
"18","Microsoft Conecta+ | Dicas para conseguir um emprego","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/microsoft-conecta-dicas-para-conseguir-um-emprego/"
"18","Fundamentos do programa Agile","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/fundamentos-do-programa-agile/"
"18","Introdução à nuvem","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/introducao-a-nuvem-ibm/"
"18","Copilot: Fundamentos de IA da Microsoft","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/copilot-fundamentos-de-ia-da-microsoft/"
"18","Orientação financeira e empreendedorismo","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/orientacao-financeira-e-empreendedorismo/"
"18","Business English: Escuta e Comunicação – Parte 1","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/business-english-escuta-e-comunicacao-parte-1/"
"18","Seja um administrador do Azure","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/seja-um-administrador-do-azure/"
"19","Fundamentos de inglês: Impulsione sua busca de emprego e seu currículo","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/fundamentos-de-ingles-impulsione-sua-busca-de-emprego-e-seu-curriculo/"
"19","Ciência de dados no mundo real","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/ciencia-de-dados-no-mundo-real/"
"19","Torne-se um Profissional de Vendas","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/torne-se-um-profissional-de-vendas/"
"19","Domine as Competências Pessoais mais requisitadas no Mercado de Trabalho","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/competencias-pessoais/"
"19","Internet das Coisas (IoT)","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/internet-das-coisas-iot-ibm/"
"19","Negócios – Empreendedorismo","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/negocios-empreendedorismo/"
"19","Como Desenvolver a Colaboração entre a Equipe","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/colaboracao-entre-a-equipe/"
"19","Agilidade: Gestão Efetiva de Demandas","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/agilidade-gestao-efetiva-de-demandas/"
"19","Conheça o ERP em nuvem Oracle!","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/conheca-o-erp-em-nuvem-oracle/"
"20","Blockchain – Primeiros passos","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/blockchain-primeiros-passos-ibm/"
"20","Cause impacto com a IA","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/cause-impacto-com-a-ia/"
"20","O que é a Inteligência Artificial?","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/o-que-e-a-inteligencia-artificial/"
"20","Posicionamento nas Redes Sociais para Devs","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/posicionamento-nas-redes-sociais-para-devs/"
"20","Introdução ao Bem-estar digital","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/introducao-ao-bem-estar-digital/"
"20","Colaboração efetiva","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/colaboracao-efetiva/"
"20","Fundamentos do ChatGPT","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/fundamentos-do-chatgpt/"
"20","Ethical Hacking","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/ethical-hacking/"
"20","Conheça a plataforma de Marketing Digital da Oracle!","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/conheca-a-plataforma-de-marketing-digital-da-oracle/"
"21","Fundamentos da Sustentabilidade e Tecnologia","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/fundamentos-da-sustentabilidade-e-tecnologia/"
"21","Como a segurança cibernética é utilizada?","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/como-a-seguranca-cibernetica-e-utilizada/"
"21","Conheça a Tríade de Cibersegurança","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/conheca-a-triade-de-ciberseguranca/"
"21","Trabalhando em um mundo digital – Habilidades Profissionais","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/trabalhando-em-um-mundo-digital/"
"21","Learning to Use the LeanIX Tool for Successful Enterprise Architecture","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/learning-to-use-the-leanix-tool-for-successful-enterprise-architecture/"
"21","O que é blockchain?","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/o-que-e-blockchain/"
"21","Segmentação de público","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/empreendedorismo-e-a-segmentacao-em-campanhas/"
"21","Fundamentos de operações Agile","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/fundamentos-de-operacoes-agile/"
"21","Estratégias de Arquitetura de Big Data","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/arquitetura-de-big-data/"
"22","Criar aplicativos sem servidor","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/crie-aplicativos-sem-servidor/"
"22","Essenciais da IBM Cloud","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/essenciais-da-ibm-cloud-ibm/"
"22","Promova a sua empresa com publicidade online","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/promova-a-sua-empresa-com-publicidade-online/"
"22","Como se utiliza a computação em nuvem?","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/como-se-utiliza-a-computacao-em-nuvem/"
"22","E-commerce com Gestão comercial","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/e-commerce-com-gestao-comercial/"
"22","Compreenda as necessidades e os comportamentos online dos clientes","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/compreenda-as-necessidades-e-os-comportamentos-online-dos-clientes/"
"22","OCI Explorer – Conheça o Oracle Cloud Infrastructure, a nuvem Oracle","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/oci-explorer-conheca-o-oracle-cloud/"
"22","Designing Stories in SAP Analytics Cloud","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/designing-stories-in-sap-analytics-cloud/"
"22","Cibersegurança – Continuidade de Negócios","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/ciberseguranca-continuidade-de-negocios/"
